t,i,j,k,v,q
2012,156,208,121221,289.306,        8.368
2012,156,208,121229,58.558,       53.375
2012,156,380,121221,708.892,       35.552
2012,156,380,121229,309.851,       26.814
2012,156,579,121221,173.27,        5.677
2012,156,699,121221,10.4,       20.000
2012,208,380,121221,0.087,        0.011
2012,208,380,121229,0.329,        0.045
2012,208,579,121221,18.364,        5.236
2012,208,579,121229,1.051,        0.037
2012,380,208,121221,1.233,        0.097
2012,380,208,121229,0.59,        0.102
2012,380,579,121221,12.356,        0.887
2012,380,579,121229,11.824,       13.849
2012,579,156,121221,3.099,        0.350
2012,579,208,121221,4.361,        1.836
2012,579,208,121229,3.188,        2.019
2012,579,380,121221,9.16,        0.285
2012,579,380,121229,121.635,       88.752
2012,699,156,121221,0.5,        0.100
2012,699,208,121221,6.064,        0.491
2012,699,380,121221,5.659,        0.196
2013,156,208,121221,555.696,       47.251
2013,156,380,121221,1490.249,       80.111
2013,156,380,121229,102.971,        4.023
2013,156,579,121221,137.826,        9.361
2013,156,699,121221,290.905,       44.021
2013,156,699,121229,22.464,       42.871
2013,208,380,121221,10.928,        0.579
2013,208,380,121229,0.629,        0.021
2013,208,579,121221,18.931,        3.864
2013,208,579,121229,0.455,        0.289
2013,380,208,121221,3.232,        0.501
2013,380,208,121229,0.088,        0.050
2013,380,579,121221,13.959,        2.445
2013,579,156,121221,6.31,        0.650
2013,579,208,121221,0.8,        0.080
2013,579,208,121229,10.661,       10.547
2013,579,380,121229,65.29,       31.822
2013,699,380,121229,15.505,        0.500
2013,699,579,121221,7.392,        0.147
2014,156,208,121221,463.735,       21.131
2014,156,208,121229,10.632,       18.000
2014,156,380,121221,880.666,       61.540
2014,156,380,121229,186.241,       44.283
2014,156,579,121221,157.681,        6.466
2014,156,699,121221,454.353,       84.500
2014,156,699,121229,27.257,        3.700
2014,208,380,121221,34.475,        8.293
2014,208,380,121229,34.359,       12.541
2014,208,579,121221,15.92,        2.250
2014,208,579,121229,8.592,        2.776
2014,380,208,121221,84.856,        0.993
2014,380,208,121229,6.627,        2.766
2014,380,579,121221,25.437,        1.632
2014,380,579,121229,31.199,       23.000
2014,579,156,121229,0.063,        0.005
2014,579,208,121221,59.169,        2.005
2014,579,208,121229,27.205,        0.143
2014,579,380,121221,4.803,        0.126
2014,579,380,121229,137.037,       54.398
2014,699,208,121221,0.152,        0.102
2015,156,208,121221,550.227,       61.858
2015,156,208,121229,9.974,       18.075
2015,156,380,121221,1476.649,       89.934
2015,156,380,121229,327.472,       59.302
2015,156,579,121221,90.174,       15.076
2015,156,699,121221,356.503,       83.800
2015,156,699,121229,38.568,        5.500
2015,208,156,121229,0.025,        0.001
2015,208,380,121221,8.386,        1.512
2015,208,380,121229,33.177,        0.358
2015,208,579,121221,70.292,        5.147
2015,208,579,121229,22.015,       30.005
2015,380,208,121221,3.4,        0.088
2015,380,208,121229,38.292,       19.470
2015,380,579,121221,2.02,        0.063
2015,579,156,121229,30.724,       20.410
2015,579,208,121221,2.168,        0.033
2015,579,208,121229,1.223,        0.470
2015,579,380,121221,11.833,        0.236
2015,579,380,121229,115.778,      135.208
2015,699,156,121221,2.014,        0.025
2015,699,380,121221,2.608,        0.160
2015,699,380,121229,1.192,        0.025
