Year,i,Q_121221,V_121221,Q_121229,V_121229
2012,4,0.1,0.33,0.0,0.0
2012,8,0.0,0.0,0.42,0.08
2012,12,0.0,0.0,0.0,0.0
2012,16,0.0,0.0,0.0,0.0
2012,20,0.0,0.0,0.0,0.0
2012,24,0.0,0.0,0.0,0.0
2012,28,0.0,0.0,0.0,0.0
2012,31,0.0,0.0,0.0,0.0
2012,32,0.02,0.03,0.07,0.36
2012,36,0.38,0.25,0.34,0.39
2012,40,0.03,0.06,0.05,0.07
2012,44,0.0,0.0,0.0,0.0
2012,48,0.0,0.0,0.0,0.0
2012,50,0.0,0.0,0.0,0.0
2012,51,0.0,0.0,0.0,0.0
2012,52,0.0,0.0,0.0,0.0
2012,56,0.02,0.07,0.13,0.08
2012,60,0.0,0.0,0.0,0.0
2012,64,0.0,0.0,0.0,0.0
2012,68,0.0,0.0,0.0,0.0
2012,70,0.0,0.0,0.0,0.0
2012,72,0.0,0.0,0.0,0.0
2012,76,0.03,0.03,0.05,0.08
2012,84,0.0,0.0,0.0,0.0
2012,86,0.0,0.0,0.0,0.0
2012,90,53.6,27.3,0.0,0.0
2012,92,0.0,0.0,0.0,0.0
2012,96,0.0,0.0,0.0,0.0
2012,100,0.0,0.28,0.05,0.01
2012,104,2.25,0.81,0.06,0.08
2012,108,0.0,0.0,0.0,0.0
2012,112,0.01,0.0,0.01,0.01
2012,116,0.13,0.0,0.15,0.1
2012,120,0.0,0.0,0.0,0.0
2012,124,0.2,0.4,0.9,2.03
2012,132,0.0,0.0,0.0,0.0
2012,136,0.0,0.0,0.0,0.0
2012,140,0.0,0.0,0.0,0.0
2012,144,0.11,0.1,0.07,0.06
2012,148,0.0,0.0,0.03,0.42
2012,152,9.9,10.13,57.46,63.53
2012,156,1.22,2.76,0.06,0.25
2012,162,0.0,0.0,0.0,0.0
2012,166,0.0,0.0,0.0,0.0
2012,170,0.0,0.0,0.0,0.0
2012,174,0.0,0.0,0.0,0.0
2012,175,0.0,0.0,0.0,0.0
2012,178,0.0,0.0,0.0,0.0
2012,180,0.0,0.0,0.0,0.0
2012,184,0.0,0.0,0.0,0.0
2012,188,0.0,0.05,0.0,0.0
2012,191,0.14,0.06,0.0,0.0
2012,192,0.0,0.0,0.0,0.0
2012,196,0.0,0.0,0.27,0.08
2012,203,0.02,0.07,0.0,0.01
2012,204,0.0,0.0,0.0,0.0
2012,208,0.44,1.12,0.08,0.28
